chapter	local_frame	score	bad_frame	manual_override
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	246	0.47062810	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	247	0.41600303	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	248	0.61254443	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	249	0.59379832	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	250	0.67129905	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	251	0.59140043	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	252	0.64108975	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	253	0.37143679	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	254	0.38061032	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	255	0.26278224	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	256	0.31310338	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	257	0.24480474	0	0
